workers,protocol_detection,tls,connections_offered,deadlines,tcp_listeners,udp_listeners,total,event_ports,threads_at_rest,threads,established
1,1,0,0,1,1,0,1,1,2,3,0
2,1,0,0,1,1,0,1,1,3,4,0
4,1,0,0,1,1,0,1,1,5,6,0
8,1,0,0,1,1,0,1,1,9,10,0
1,1,1,0,1,1,0,1,1,2,3,0
2,1,1,0,1,1,0,1,1,3,4,0
4,1,1,0,1,1,0,1,1,5,6,0
8,1,1,0,1,1,0,1,1,9,10,0
1,0,0,0,1,1,0,1,1,2,3,0
2,0,0,0,1,1,0,1,1,3,4,0
4,0,0,0,1,1,0,1,1,5,6,0
8,0,0,0,1,1,0,1,1,9,10,0
1,0,1,0,1,1,0,1,1,2,3,0
2,0,1,0,1,1,0,1,1,3,4,0
4,0,1,0,1,1,0,1,1,5,6,0
8,0,1,0,1,1,0,1,1,9,10,0
1,1,0,0,1,1,0,1,1,2,3,0
1,1,0,1,0,1,0,1,1,2,2,1
1,1,0,10,0,1,0,1,1,2,2,10
1,1,0,50,0,1,0,1,1,2,2,50
1,0,0,0,1,1,0,1,1,2,3,0
1,0,0,1,0,1,0,1,1,2,2,1
1,0,0,10,0,1,0,1,1,2,2,10
1,0,0,50,0,1,0,1,1,2,2,50
1,0,1,0,1,1,0,1,1,2,3,0
1,0,1,1,0,1,0,1,1,2,2,1
1,0,1,10,0,1,0,1,1,2,2,10
1,0,1,50,0,1,0,1,1,2,2,50
