workers,protocol_detection,tls,connections_offered,deadlines,tcp_listeners,udp_listeners,total,event_ports,threads_at_rest,threads,established
1,1,0,0,1,1,0,1,,5,6,0
2,1,0,0,1,1,0,1,,6,7,0
4,1,0,0,1,1,0,1,,8,9,0
8,1,0,0,1,1,0,1,,12,13,0
1,1,1,0,1,1,0,1,,5,6,0
2,1,1,0,1,1,0,1,,6,7,0
4,1,1,0,1,1,0,1,,8,9,0
8,1,1,0,1,1,0,1,,12,13,0
1,0,0,0,1,1,0,1,,5,6,0
2,0,0,0,1,1,0,1,,6,7,0
4,0,0,0,1,1,0,1,,8,9,0
8,0,0,0,1,1,0,1,,12,13,0
1,0,1,0,1,1,0,1,,5,6,0
2,0,1,0,1,1,0,1,,6,7,0
4,0,1,0,1,1,0,1,,8,9,0
8,0,1,0,1,1,0,1,,12,13,0
1,1,0,0,1,1,0,1,,5,6,0
1,1,0,1,0,1,0,1,,5,5,1
1,1,0,10,0,1,0,1,,5,5,10
1,1,0,50,0,1,0,1,,5,5,50
1,0,0,0,1,1,0,1,,5,6,0
1,0,0,1,0,1,0,1,,5,5,1
1,0,0,10,0,1,0,1,,5,5,10
1,0,0,50,0,1,0,1,,5,5,50
1,0,1,0,1,1,0,1,,5,6,0
1,0,1,1,0,1,0,1,,5,5,1
1,0,1,10,0,1,0,1,,5,5,10
1,0,1,50,0,1,0,1,,5,5,50
